primaryHazard,city,countyCode,county,stateAbbreviation,zipcode,structureType,yearBuilt,estimatedPurchasePrice,insuranceType,ownerType,id
Flooding,Winnetka,31,Cook,IL,60093,Residential,1954,80648,Self-Insured,Individual,84d9f0f6-fe38-4de2-8068-c72afb818edd
Flooding,Winnetka,31,Cook,IL,60093,Residential,1931,154727,Self-Insured,Individual,3e80e14a-9102-43ec-9b51-5636484145c5
Flooding,Winnetka,31,Cook,IL,60093,Residential,2007,154727,Self-Insured,Individual,c1027913-8af0-4a9f-9613-d2aef6a019bf
Flooding,Winnetka,31,Cook,IL,60093,Residential,1929,124160,Self-Insured,Individual,56f2a6d6-b114-4381-adb2-dd3d2d06c5af
Flooding,Winnetka,31,Cook,IL,60093,Residential,1927,82233,Self-Insured,Estate/Trust,da5f1376-ea76-40b6-9840-cf01bf0a97c8
Flooding,Winnetka,31,Cook,IL,60093,Residential,1928,118132,Self-Insured,Individual,f4d7372e-b1ec-4a5f-b0ec-e47fc5d122c7
Flooding,Winnetka,31,Cook,IL,60093,Residential,1937,77673,Self-Insured,Individual,b2035eb7-cc29-4a63-8253-9446668e454d
Flooding,Winnetka,31,Cook,IL,60093,Residential,1929,94019,Self-Insured,Individual,1cccd1f2-bd07-4f38-ab8b-bf333df02d44
Flooding,Winnetka,31,Cook,IL,60093,Residential,1939,140854,Self-Insured,Individual,2869a15a-8983-4de9-9253-4e9b75bc45fb
Flooding,Winnetka,31,Cook,IL,60093,Residential,1938,98154,Self-Insured,Individual,ff7c5566-24db-494e-a47e-94c5635177db
Flooding,Winnetka,31,Cook,IL,60093,Residential,1936,117939,Self-Insured,Individual,77b9fda7-db68-49b0-8324-5fbec2e6a522
Flooding,Winnetka,31,Cook,IL,60093,Residential,1912,89382,Self-Insured,Individual,dd511f95-9c17-48b5-aa27-62e0c0d3e134
Flooding,Winnetka,31,Cook,IL,60093,Residential,1929,228844,Self-Insured,Individual,501c6a98-dd5e-4de3-9ff8-f0b8a1d29ca9
Flooding,Winnetka,31,Cook,IL,60093,Residential,1925,139965,Self-Insured,Individual,d7473e70-8647-4e18-871e-fed152aecd9a
Flooding,Winnetka,31,Cook,IL,60093,Residential,1951,149433,Self-Insured,Individual,76de9ad5-40ed-4ac4-9dc1-63c671ec905c
Flooding,Winnetka,31,Cook,IL,60093,Residential,1928,95139,Self-Insured,Individual,d324c313-c51d-46de-9613-de32dd190524
Flooding,Winnetka,31,Cook,IL,60093,Residential,1956,65384,Self-Insured,Individual,64fb2fa4-d2fd-4053-ac89-a914cfb89d88
Flooding,Winnetka,31,Cook,IL,60093,Residential,1939,82658,Self-Insured,Individual,b8503f57-b23b-4fde-a86d-04989129d963
Flooding,Winnetka,31,Cook,IL,60093,Residential,1917,120876,Self-Insured,Individual,d6ec25ea-8c73-4a6f-aa76-ac5d039e59ab
Flooding,Winnetka,31,Cook,IL,60093,Residential,1928,94753,Self-Insured,Individual,525877b5-0cb2-4cfa-82f9-bdd974acffbc
Flooding,Winnetka,31,Cook,IL,60093,Residential,1930,76861,Self-Insured,Individual,05b769d8-c4ee-4703-8d67-9b2efd9fba5a
Flooding,Winnetka,31,Cook,IL,60093,Residential,1951,110597,Self-Insured,Individual,1ea04567-6806-43a9-ad73-d9a32e4da4ac
Flooding,Winnetka,31,Cook,IL,60093,Residential,1955,163035,Self-Insured,Individual,f949506f-e616-413d-8251-7dc673429057
Flooding,Winnetka,31,Cook,IL,60093,Residential,1955,109476,Self-Insured,Individual,9798f70b-95fa-4c5c-81e8-41c4b6058be1
Flooding,Winnetka,31,Cook,IL,60093,Residential,1931,176097,Self-Insured,Estate/Trust,2e61c3a5-d7a7-4d97-be4b-58b5af5fd499
Flooding,Winnetka,31,Cook,IL,60093,Residential,1938,114074,Self-Insured,Individual,cdef5857-a49a-4168-815a-6940b3ce06cb
Flooding,Winnetka,31,Cook,IL,60093,Residential,1954,91893,Self-Insured,Individual,53aa2c65-6ba8-4818-8e7a-4a09cb4467ee
Flooding,Winnetka,31,Cook,IL,60093,Residential,1929,72340,Self-Insured,Individual,d97fefc4-1a27-4891-9ce9-ca88cc5f1e54
Flooding,Winnetka,31,Cook,IL,60093,Residential,1928,83894,Self-Insured,Individual,ad3dcf77-0396-480c-a932-6f5458e7fc52
Flooding,Winnetka,31,Cook,IL,60093,Residential,2021,134517,Self-Insured,Estate/Trust,88d000d2-5b28-4893-82b5-e60a358fd6a9
Flooding,Winnetka,31,Cook,IL,60093,Residential,1929,128025,Self-Insured,Individual,00f501c0-68c5-4c77-a383-19aba75b302e
Flooding,Winnetka,31,Cook,IL,60093,Residential,1926,78252,Self-Insured,Individual,934a0e77-ca66-40b8-a993-299b492edc04
Flooding,Winnetka,31,Cook,IL,60093,Residential,1930,88106,Self-Insured,Individual,a3dcb5f3-9b5e-43fb-90fa-6fc65518e85a
Flooding,Winnetka,31,Cook,IL,60093,Residential,1995,123928,Self-Insured,Individual,7d24e787-8b4e-4ce3-a34f-b5afa6c1f54e
Flooding,Winnetka,31,Cook,IL,60093,Residential,1920,99545,Self-Insured,Individual,e68b4184-6c31-425f-b6c4-69447c52a902
Flooding,Winnetka,31,Cook,IL,60093,Residential,1958,80069,Self-Insured,Individual,7d4a488f-737a-473b-81ab-c97377a50213
Flooding,Winnetka,31,Cook,IL,60093,Residential,1951,116934,Self-Insured,Individual,c71895bf-4729-40ab-87e4-9b8ff08ccb26
Flooding,Winnetka,31,Cook,IL,60093,Residential,1947,82658,Self-Insured,Individual,1eb09fce-0426-4ec4-a0a1-b6202ad5c38e
Flooding,Winnetka,31,Cook,IL,60093,Residential,1939,139540,Self-Insured,Individual,ca6ac7dc-e507-461c-b715-eb7c0b43843a
Flooding,Winnetka,31,Cook,IL,60093,Residential,1927,100936,Self-Insured,Individual,08501028-470a-4495-b3ea-777468be6ee1
Flooding,Winnetka,31,Cook,IL,60093,Residential,1928,97806,Self-Insured,Individual,d7cce756-1c76-4254-82a7-1f2b0990ccd6
Flooding,Winnetka,31,Cook,IL,60093,Residential,1937,119291,Self-Insured,Individual,962af7c1-ebea-447d-9b7b-d5ff21d6774a
Flooding,Winnetka,31,Cook,IL,60093,Residential,1995,134208,Self-Insured,Individual,878960d7-5e74-470c-acc4-af5c799ce46f
Flooding,Winnetka,31,Cook,IL,60093,Residential,1924,83546,Self-Insured,Individual,1ecfa1f6-8840-424a-8397-889598df6a70
Flooding,Winnetka,31,Cook,IL,60093,Education,1969,3145085,Self-Insured,Government,dbb28445-231f-4b2e-a892-b59b9daebfa7
Flooding,Thibodaux,57,Lafourche,LA,70301,Residential,1978,127626,NFIP Insurance,Individual,db6fbac5-a318-4983-9fa2-e406c3795289
Flooding,Des Allemands,57,Lafourche,LA,70030,Residential,2010,104598,NFIP Insurance,Individual,aa05c052-414e-437f-81b1-cb127c2c0684
Flooding,Winnetka,31,Cook,IL,60093,Residential,1935,86251,Self-Insured,Individual,70efa261-c149-4777-b04d-cb37d6c99cf4
Flooding,Winnetka,31,Cook,IL,60093,Residential,1911,139502,Self-Insured,Individual,4049d64d-9939-4be3-961a-c47fc5538cbf
Flooding,Winnetka,31,Cook,IL,60093,Residential,1912,48690,Self-Insured,Estate/Trust,28cc2932-4fd3-419a-8e64-bdae7567045d
Flooding,Winnetka,31,Cook,IL,60093,Residential,1917,102250,Self-Insured,Individual,52447fee-9f06-48af-9612-ada6101d70ce
Flooding,Winnetka,31,Cook,IL,60093,Residential,1923,59008,Self-Insured,Individual,271cd6e8-2815-4cab-97ab-3f4dea04d72c
Flooding,Winnetka,31,Cook,IL,60093,Residential,1930,176251,Self-Insured,Individual,44e88500-3271-46b6-979e-15f9094ce1da
Flooding,Winnetka,31,Cook,IL,60093,Residential,1922,163460,Self-Insured,Individual,59519ce6-f05a-46f1-bbf7-1d13efb0b7a6
Flooding,Winnetka,31,Cook,IL,60093,Residential,1929,124160,Self-Insured,Individual,2c8f9117-5743-4f2f-abc1-c5daccfc6b95
Flooding,Winnetka,31,Cook,IL,60093,Residential,1925,122228,Self-Insured,Individual,d46eb7f7-7787-4e91-8521-c17449376f81
Flooding,Winnetka,31,Cook,IL,60093,Residential,1929,97999,Self-Insured,Individual,3eef7e21-562a-4569-8982-f71b04e0524a
Flooding,Winnetka,31,Cook,IL,60093,Residential,1926,72494,Self-Insured,Individual,759174bc-782c-470b-a5b4-7be5315834be
Flooding,Winnetka,31,Cook,IL,60093,Residential,1939,140854,Self-Insured,Individual,564a96f8-80c7-4f6e-8617-dae146756e67
Flooding,Winnetka,31,Cook,IL,60093,Residential,1928,111795,Self-Insured,Individual,f2817cd0-9a54-4c13-8e9c-06a4feded825
Flooding,Winnetka,31,Cook,IL,60093,Residential,1936,117939,Self-Insured,Individual,fb85610f-eba1-49eb-9804-4a1195a8bfa8
Flooding,Winnetka,31,Cook,IL,60093,Residential,1941,90425,Self-Insured,Individual,6bd6770e-7e9e-4373-8052-40c9ed531673
Flooding,Winnetka,31,Cook,IL,60093,Residential,1912,89382,Self-Insured,Individual,30b794c8-221f-49e7-a39c-2a4be4ed9eb9
Flooding,Winnetka,31,Cook,IL,60093,Residential,1929,127213,Self-Insured,Individual,fabca70e-52c5-4562-8c02-520e7ccf0b62
Flooding,Winnetka,31,Cook,IL,60093,Residential,1922,57810,Self-Insured,Individual,8e70e362-8079-46a6-aa9b-ce113f6977af
Flooding,Winnetka,31,Cook,IL,60093,Residential,1928,144718,Self-Insured,Individual,4076c358-487d-4ccc-b466-218e03f102c2
Flooding,Winnetka,31,Cook,IL,60093,Residential,1959,71181,Self-Insured,Individual,f47d9687-f0fb-4fd4-8182-e1296889fb29
Flooding,Winnetka,31,Cook,IL,60093,Residential,1955,86638,Self-Insured,Individual,883eae3c-c0f2-4dcd-9782-71e29075b91a
Flooding,Winnetka,31,Cook,IL,60093,Residential,1930,77209,Self-Insured,Individual,d4e775dc-278c-491d-b773-c353016afe0b
Flooding,Winnetka,31,Cook,IL,60093,Residential,1988,116973,Self-Insured,Individual,95465007-a8b1-42c1-8dff-80767b2749f5
Flooding,Winnetka,31,Cook,IL,60093,Residential,1939,75818,Self-Insured,Individual,2c9c316a-fe7c-4a20-8826-89a9de969498
Flooding,Winnetka,31,Cook,IL,60093,Residential,1955,67394,Self-Insured,Individual,c39e87cf-86c6-40c0-969c-2221cee522f5
Flooding,Winnetka,31,Cook,IL,60093,Residential,1939,82658,Self-Insured,Individual,7008687c-cb1a-4d2e-b8fd-0cfed5aef584
Flooding,Winnetka,31,Cook,IL,60093,Residential,1917,120876,Self-Insured,Individual,d0b3db23-b496-4ef4-9c39-438692cdc114
Flooding,Winnetka,31,Cook,IL,60093,Residential,1918,155964,Self-Insured,Individual,8c8cd9f7-2ed6-478d-a0fb-afeab0869fe8
Flooding,Winnetka,31,Cook,IL,60093,Residential,1955,163035,Self-Insured,Individual,66e48d92-5ffb-4c31-a44b-82c85a1e95ea
Flooding,Winnetka,31,Cook,IL,60093,Residential,1954,72456,Self-Insured,Individual,c53f101e-cbdb-4021-8026-38caee728561
Flooding,Winnetka,31,Cook,IL,60093,Residential,1929,128025,Self-Insured,Individual,b0d4fd2c-5536-48c5-a955-e878738a4398
Flooding,Winnetka,31,Cook,IL,60093,Residential,1930,94135,Self-Insured,Individual,6b8c6b8e-ee19-4406-8eb2-a72aeb34be40
Flooding,Winnetka,31,Cook,IL,60093,Residential,1926,78252,Self-Insured,Individual,d4a2b7f2-6b5c-487f-af32-5bdc1648b61a
Flooding,Winnetka,31,Cook,IL,60093,Residential,1995,123928,Self-Insured,Individual,cc0ecf53-5cf6-42ee-a446-dbf51f829bfa
Flooding,Winnetka,31,Cook,IL,60093,Residential,1920,99545,Self-Insured,Individual,b8750a26-805e-4728-9fb8-a491d33f202a
Flooding,Winnetka,31,Cook,IL,60093,Residential,2000,136333,Self-Insured,Individual,e67e2ccb-d857-4ebd-b6c7-00ad6fbcea5c
Flooding,Winnetka,31,Cook,IL,60093,Residential,1927,107312,Self-Insured,Estate/Trust,16f3c367-8960-4264-8018-5ea8c58f4646
Flooding,Winnetka,31,Cook,IL,60093,Residential,1925,72031,Self-Insured,Individual,75415a14-9abd-4c3d-8d00-a4c8f443020c
Flooding,Winnetka,31,Cook,IL,60093,Residential,1951,116934,Self-Insured,Individual,d0a41c0a-e578-40bf-a7de-680ef88c1afd
Flooding,Winnetka,31,Cook,IL,60093,Residential,1955,76668,Self-Insured,Individual,2c670631-c1a2-4bda-8b69-ea86d54cd136
Flooding,Winnetka,31,Cook,IL,60093,Residential,2008,270579,Self-Insured,Estate/Trust,e0e30676-ddad-4372-b96f-38afb6b347d0
Flooding,Winnetka,31,Cook,IL,60093,Residential,1927,100936,Self-Insured,Individual,c168c0fe-795d-4404-893d-639b4896cfad
Flooding,Winnetka,31,Cook,IL,60093,Residential,1942,90116,Self-Insured,Individual,ec744f7f-f5ad-467b-8f0f-6eebe045ab9f
Flooding,Winnetka,31,Cook,IL,60093,Residential,1930,65384,Self-Insured,Individual,847d0022-6fd6-4021-adfc-6960893b513e
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1970,218943,NFIP Insurance,Individual,0fc98418-2579-494b-86b9-3bbe41b8ed6e
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1973,224115,NFIP Insurance,Individual,736e0430-7b1d-4b30-8214-63bd69da092a
Flooding,LaPlace,95,St. John the Baptist,LA,70067,Residential,2003,189077,NFIP Insurance,Individual,fd0f2a96-6c90-4135-adb0-a5c1f3b94861
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1983,170953,NFIP Insurance,Individual,db18f558-e176-42c8-99e6-b731b3e92365
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1979,295358,NFIP Insurance,Individual,e6305119-1e28-4be5-aad3-5cf0e9f41e7b
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1999,370289,NFIP Insurance,Individual,efacbaff-4710-426e-89b0-da7b9e5b44a5
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,2002,179431,NFIP Insurance,Individual,b81988f7-b342-4b06-891f-b767010af990
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1982,124193,NFIP Insurance,Individual,04eba13e-4366-4edb-8884-ce30771f0411
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1972,196961,NFIP Insurance,Individual,3b2383ed-452b-48dc-b70d-fb4b69563726
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1994,323380,NFIP Insurance,Individual,6ed30b36-d6c0-4696-869d-3b7d2a633fb6
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1981,336543,NFIP Insurance,Individual,a16c85eb-4bdc-4322-a2ae-1e62f6da0ab1
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1985,123303,NFIP Insurance,Individual,a96cd28a-f1d5-4a03-861e-1f6c4ae0d598
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1988,214534,NFIP Insurance,Individual,d236893f-e6bd-446c-af46-49f8e89f8ffd
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1983,151325,NFIP Insurance,Individual,15606b01-0f97-4955-a285-c5d567101cf2
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1989,166035,NFIP Insurance,Individual,54d8a838-f93f-441d-8856-5497ae988c1c
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1990,225493,NFIP Insurance,Individual,f7f3fea1-103a-49fc-961a-85a8a01c5a14
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1985,177666,NFIP Insurance,Individual,65c77cd5-be6d-44ee-8b9a-7e2f3c733dc8
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,2002,160524,NFIP Insurance,Individual,0f9faac2-630a-41bf-a270-d4cacdcc1e62
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1970,144923,NFIP Insurance,Individual,9b733e38-0d32-42a4-a106-52d4c8a25314
Flooding,LaPlace,95,St. John the Baptist,LA,70067,Residential,1982,225387,NFIP Insurance,Individual,67ec5a53-7166-48c7-9aba-3245fbd449ff
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1983,185176,NFIP Insurance,Individual,894c5e15-a413-41fe-80e5-0aefd9115d80
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1980,165865,NFIP Insurance,Individual,420ba5b9-0de8-488c-afb1-28a93d4a35ec
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1985,211567,NFIP Insurance,Individual,96627965-aa2f-46c3-8f2d-029b0b5e40c7
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1974,246160,NFIP Insurance,Individual,860717c3-791a-43bb-ab9b-eef35affa7fc
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,2002,209616,NFIP Insurance,Individual,0bccb16d-c48a-4058-afe2-0dd9c507a73d
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,2004,174090,NFIP Insurance,Individual,ec6faba7-37eb-4a06-b847-29c2d771c653
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1979,177609,NFIP Insurance,Individual,ec473dd3-0e89-45fa-950b-7fcf9cef4e1e
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1979,184731,NFIP Insurance,Individual,390d1c7c-d17c-4347-91e1-59ab9087ee73
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1978,192743,NFIP Insurance,Individual,6a867f46-b66a-4d17-95ae-b490ca007149
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,1965,170656,NFIP Insurance,Individual,7319dd1f-fffa-4cbf-bf6f-d1aba90cfa84
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,2005,196432,NFIP Insurance,Individual,710da186-5dc5-46e4-9f71-f29ae300bf6a
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,2005,212054,NFIP Insurance,Individual,99373f93-9e7c-42bd-8c91-96e1a8b77c1c
Flooding,LaPlace,95,St. John the Baptist,LA,70068,Residential,2003,185091,NFIP Insurance,Individual,7e155c74-2077-4a79-8862-48084522c963
Flooding,Belhaven,13,Beaufort,NC,27810,Residential,1900,205000,NFIP Insurance,Individual,aee6666e-1205-4798-898e-3a087eec4a90
Severe storm,Seaford,5,Sussex,DE,19973,Energy,1965,395000,Private Insurance,Government,4f1fe0fa-07f0-44da-a0f1-4da219aa910e
Flooding,Houma,109,Terrebonne,LA,70363,Residential,1960,221439,NFIP Insurance,Individual,7dd118fb-509c-462f-9f51-b973078f69ec
Flooding,Houma,109,Terrebonne,LA,70363,Residential,1980,277609,NFIP Insurance,Individual,11f6565a-faea-42e6-a8c8-9de5ac9bac66
Infrastructure failure,Houma,109,Terrebonne,LA,70364,Water (potable),1987,554105,Self-Insured,Government,0dcbc5d8-0dfd-49cf-a797-f89c6312374a
Flooding,Denham Springs,63,Livingston,LA,70726,Residential,2000,3199000,NFIP Insurance,Individual,9cedb1be-8bb4-4631-96d9-86674a19fa3e
Flooding,Darien,1,Fairfield,CT,6820,Residential,1952,204634,NFIP Insurance,Individual,b5265616-7893-4b7b-baa8-cff0c9d4a32a
Flooding,Denham Springs,63,Livingston,LA,70726,Residential,1978,316932,NFIP Insurance,Individual,1b1bebad-7b2f-4f54-8fa4-a7bca91c2d82
Flooding,Denham Springs,63,Livingston,LA,70726,Residential,1977,354119,NFIP Insurance,Individual,4437de7b-e1e7-44b3-9d7b-a0bd0784bbfc
Flooding,Holden,63,Livingston,LA,70744,Residential,1985,269243,NFIP Insurance,Individual,45bccbdf-600f-43ca-a1fc-bd8eb9e5fb5c
Flooding,Holden,63,Livingston,LA,70744,Residential,1960,156685,NFIP Insurance,Individual,f75bf267-b974-49b9-b4d8-c86e50ff2a91
Flooding,Denham Springs,63,Livingston,LA,70726,Residential,1978,231159,NFIP Insurance,Individual,9d03a53c-9d4a-400f-8842-340d49dfc66c
Flooding,Denham Springs,63,Livingston,LA,70726,Residential,1999,280740,NFIP Insurance,Individual,65387a7d-1c8d-4b32-82a8-dc81874ee0b9
Flooding,Vidalia,29,Concordia,LA,71373,Water (potable),1965,1722295,,Government,11867f53-7256-41b4-a3fa-6266eb3b1e37
Extreme temperature,Seattle,33,King,WA,98103,Residential,1983,305350,Private Insurance,Government,f1a34f37-6b28-4199-b7df-a7c3d372f423
Flooding,St Amant,5,Ascension,LA,70774,Residential,1984,267898,Private Insurance,Individual,c84cd33c-78c0-4970-82ad-1679bc48c04d
Flooding,Prairieville,5,Ascension,LA,70769,Residential,2001,251832,Private Insurance,Individual,ec9d3e9a-8903-439f-a1a4-e5e95ae1fba1
Flooding,Geismar,5,Ascension,LA,70734,Residential,1990,211147,NFIP Insurance,Individual,e7150204-b430-48f2-a36c-b8643a0118c4
Flooding,St Amant,5,Ascension,LA,70774,Residential,1996,314850,Private Insurance,Individual,34061202-6147-490a-bc61-6838504e7d8d
Flooding,Denham Springs,63,Livingston,LA,70706,Residential,1995,324568,NFIP Insurance,Individual,e968e9ed-b0a5-427c-881c-e914bdfeb083
Flooding,Holden,63,Livingston,LA,70744,Residential,2003,269109,NFIP Insurance,Individual,0bf8ced9-a171-4a0a-921e-878da9a98bca
Flooding,Vidalia,29,Concordia,LA,71373,Water (potable),1956,1722295,,Government,78312331-7fea-4226-92ff-035259ddd667
Flooding,Washington,13,Beaufort,NC,27889,Residential,1954,203000,NFIP Insurance,Corporation,242adfc8-a3da-4911-b57b-e6b2ff97f51e
Flooding,Youngsville,55,Lafayette,LA,70592,Residential,1996,286843,NFIP Insurance,Individual,bb30b8b5-ed48-45ce-803b-5c123bd6e68d
Flooding,Lafayette,55,Lafayette,LA,70508,Residential,1979,218446,NFIP Insurance,Individual,fd7ff9ba-231c-4054-995b-3ba720268944
Flooding,Carencro,55,Lafayette,LA,70520,Residential,1987,290539,NFIP Insurance,Individual,5a62376f-b451-495a-b116-b95d37c48229
Flooding,Youngsville,55,Lafayette,LA,70592,Residential,1975,219586,NFIP Insurance,Individual,36cf2327-e5fc-4c37-a338-f82c3adf5f91
Flooding,Stayton,47,Marion,OR,97383,Transportation,1965,12780000,,Government,2474470b-2346-415b-8f22-ebb8f6e6c09d
Flooding,De Soto,99,Jefferson,MO,63020,Residential,1962,102700,NFIP Insurance,Individual,ceee4d06-33a2-4dda-9c2a-2b495a68dbdf
Dam/Levee break,Hamden,9,New Haven,CT,6517,Utility and Miscellaneous,1860,66000000,Private Insurance,Government,67910ad9-54c3-4a8c-a1b3-60de33fdb7c7
Flooding,"Kansas City, KS",209,Wyandotte,KS,66115,Wastewater,1924,750000,,Government,6398382e-355a-4f3c-ad94-b28743e23fa4
Flooding,Pelham,117,Shelby,AL,35124,Residential,1978,216040,NFIP Insurance,Individual,8dc21dda-6f5f-4445-90db-d493b96bcb0c
Flooding,Pelham,117,Shelby,AL,35124,Residential,1978,231550,,Corporation,7f0f6b66-8324-40ce-8c39-267f73da9df5
Flooding,Pelham,117,Shelby,AL,35124,Residential,1978,260810,,Individual,84cb39bf-ada1-49e9-8498-ac7520fd7938
Flooding,Pelham,117,Shelby,AL,35124,Residential,1978,223850,,Individual,a75fbefe-19a3-45c6-938f-584983829db7
Flooding,Pelham,117,Shelby,AL,35124,Residential,1978,231110,,Individual,097c8a4a-2c5c-4ff0-8b2f-53147796cb37
Flooding,Pelham,117,Shelby,AL,35124,Residential,1973,233310,,Individual,d25b29f3-a5e0-48df-88ae-b8830de2b60a
Flooding,Pelham,117,Shelby,AL,35124,Residential,1973,250580,NFIP Insurance,Individual,85f0ed27-1bf2-494e-95e0-a6603382288c
Flooding,Pelham,117,Shelby,AL,35124,Residential,1973,217580,,Corporation,aaeebe6d-5654-45e9-bd0c-a4686f755441
Flooding,Pelham,117,Shelby,AL,35124,Residential,1973,259820,,Individual,eb6cb55d-a68e-4cef-a746-77fe9d3918a3
Flooding,Pelham,117,Shelby,AL,35124,Residential,1973,219010,,Individual,25dc12bf-29c2-412f-9375-4cf92ac31926
Flooding,Pelham,117,Shelby,AL,35124,Residential,1978,260700,NFIP Insurance,Individual,155742c9-e12c-43e7-ac5e-db25797d3e7f
Flooding,Pelham,117,Shelby,AL,35124,Residential,1978,231550,,Individual,ed7eb461-6040-4e7f-801c-0c23bd3b1ca9
Earthquake,Adair Village,3,Benton,OR,97330,Water (potable),1958,4725250,Private Insurance,Government,c52316c2-591a-4fd4-b4b5-6de10c031101
Flooding,Alexandria,79,Rapides,LA,71302,Residential,1965,217143,NFIP Insurance,Individual,2737a95e-1df9-432a-949e-59a40693fd7e
Flooding,Pelham,117,Shelby,AL,35124,Residential,1974,341220,NFIP Insurance,Individual,232848a8-35b7-404e-8274-13ac00d44a31
Flooding,Wood River,79,Hall,NE,68883,Residential,1900,13944,Private Insurance,Individual,b066e10c-1262-409b-b13a-d5c7aa72937f
